model_label	conclusion
1_B_A_C	FP
1_B_A_D	FP
1_B_A_E	FP
1_B_A_F	FP
1_B_A_G	FP
1_B_A_J	FP
1_B_A_K	FP
1_B_A_L	FP
1_C_A_I	FP
1_C_A_K	FP
1_C_A_L	FP
1_C_A_M	FP
1_C_B_I	FP
1_C_B_K	FP
1_C_B_L	FP
1_C_B_M	FP
1_C_D_I	FP
1_C_D_K	FP
1_C_D_L	FP
1_C_D_M	FP
1_C_E_G	FP
1_C_E_I	FP
1_C_E_K	FP
1_C_E_L	FP
1_C_E_M	FP
1_C_F_I	FP
1_C_F_K	FP
1_C_F_L	FP
1_C_F_M	FP
1_C_G_I	FP
1_C_G_K	FP
1_C_G_L	FP
1_C_G_M	FP
1_C_H_K	FP
1_C_H_L	FP
1_C_H_M	FP
1_C_I_J	FP
1_C_J_K	FP
1_C_J_L	FP
1_C_J_M	FP
1_C_K_M	FP
1_D_A_C	TP
1_D_A_E	TP
1_D_A_G	TP
1_D_A_H	TP
1_D_A_I	TP
1_D_A_J	TP
1_D_A_K	TP
1_D_A_L	TP
1_D_A_M	TP
1_D_B_C	TP
1_D_B_E	TP
1_D_B_G	TP
1_D_B_H	TP
1_D_B_I	TP
1_D_B_J	TP
1_D_B_K	TP
1_D_B_L	TP
1_D_B_M	TP
1_D_C_F	TP
1_D_E_F	TP
1_D_F_G	TP
1_D_F_H	TP
1_D_F_I	TP
1_D_F_J	TP
1_D_F_K	TP
1_D_F_L	TP
1_D_F_M	TP
1_E_A_C	FP
1_E_A_G	FP
1_E_A_I	FP
1_E_A_K	FP
1_E_A_L	FP
1_E_A_M	FP
1_E_B_C	FP
1_E_B_G	FP
1_E_B_H	FP
1_E_B_I	FP
1_E_B_K	FP
1_E_B_L	FP
1_E_B_M	FP
1_E_C_D	FP
1_E_C_F	FP
1_E_C_J	FP
1_E_D_G	FP
1_E_D_H	FP
1_E_D_I	FP
1_E_D_J	FP
1_E_D_K	FP
1_E_D_L	FP
1_E_D_M	FP
1_E_F_G	FP
1_E_F_H	FP
1_E_F_I	FP
1_E_F_K	FP
1_E_F_L	FP
1_E_F_M	FP
1_E_G_J	FP
1_E_H_J	FP
1_E_I_J	FP
1_E_J_K	FP
1_E_J_L	FP
1_E_J_M	FP
1_F_A_C	FP
1_F_A_D	FP
1_F_A_E	FP
1_F_A_G	FP
1_F_A_H	FP
1_F_A_I	FP
1_F_A_J	FP
1_F_A_K	FP
1_F_A_L	FP
1_F_A_M	FP
1_F_B_C	FP
1_F_B_D	FP
1_F_B_E	FP
1_F_B_G	FP
1_F_B_H	FP
1_F_B_I	FP
1_F_B_J	FP
1_F_B_K	FP
1_F_B_L	FP
1_F_B_M	FP
1_G_A_I	FP
1_G_B_K	FP
1_G_B_M	FP
1_G_C_H	FP
1_G_D_H	FP
1_G_D_I	FP
1_G_D_K	FP
1_G_D_M	FP
1_G_E_H	FP
1_G_E_I	FP
1_G_E_K	FP
1_G_F_I	FP
1_G_F_K	FP
1_G_F_M	FP
1_G_H_J	FP
1_G_H_K	FP
1_G_H_L	FP
1_G_I_J	FP
1_G_J_K	FP
1_G_J_M	FP
1_H_D_I	FP
1_H_D_K	FP
1_H_D_M	FP
1_H_I_J	FP
1_H_J_K	FP
1_H_J_M	FP
1_I_K_M	FP
1_J_A_C	TP
1_J_A_E	TP
1_J_A_G	TP
1_J_A_H	TP
1_J_B_C	TP
1_J_B_E	TP
1_J_B_G	TP
1_J_B_H	TP
1_J_B_I	TP
1_J_B_K	TP
1_J_B_L	TP
1_J_B_M	TP
1_J_C_D	TP
1_J_C_F	TP
1_J_D_E	TP
1_J_D_G	TP
1_J_D_H	TP
1_J_D_I	TP
1_J_D_K	TP
1_J_D_L	TP
1_J_D_M	TP
1_J_F_G	TP
1_J_F_H	TP
1_J_F_K	TP
1_J_F_L	TP
1_K_D_I	FP
1_K_D_M	FP
1_K_G_I	TP
1_K_G_L	TP
1_K_G_M	TP
1_K_H_I	TP
1_K_H_L	TP
1_K_H_M	TP
1_K_I_J	FP
1_K_J_M	FP
1_L_A_I	FP
1_L_B_I	FP
1_L_C_I	FP
1_L_C_K	FP
1_L_C_M	FP
1_L_D_I	FP
1_L_D_M	FP
1_L_E_I	FP
1_L_E_M	FP
1_L_F_I	FP
1_L_F_M	FP
1_L_G_I	FP
1_L_G_M	FP
1_L_H_I	FP
1_L_H_M	FP
1_L_I_J	FP
1_L_I_K	FP
1_L_J_M	FP
1_L_K_M	FP
1_M_A_I	FP
1_M_B_I	FP
1_M_C_I	FP
1_M_D_I	FP
1_M_E_I	FP
1_M_F_I	FP
1_M_G_I	FP
1_M_H_I	FP
1_M_I_J	FP
1_M_I_K	FP
1_M_I_L	FP
2_A_D_J	FP
2_A_J_K	FP
2_A_J_L	FP
2_A_J_M	FP
2_B_A_J	FP
2_B_F_J	FP
2_C_D_H	TP
2_C_E_H	TP
2_C_G_H	FP
2_C_G_L	FP
2_C_H_I	TP
2_C_H_L	FP
2_D_A_E	TP
2_D_A_I	TP
2_D_B_E	TP
2_D_B_I	TP
2_D_C_E	TP
2_D_C_I	TP
2_D_E_F	TP
2_D_E_G	TP
2_D_E_H	TP
2_D_E_J	TP
2_D_E_K	TP
2_D_E_L	TP
2_D_E_M	TP
2_D_F_I	TP
2_D_G_I	TP
2_D_H_I	TP
2_D_I_J	TP
2_D_I_K	TP
2_D_I_L	TP
2_D_I_M	TP
2_F_D_J	FP
2_F_J_K	FP
2_F_J_L	FP
2_F_J_M	FP
2_G_C_D	TP
2_G_C_E	TP
2_G_C_I	TP
2_G_D_H	TP
2_G_D_J	TP
2_G_E_H	TP
2_G_H_I	TP
2_G_I_J	TP
2_I_A_E	FP
2_I_B_E	FP
2_I_C_E	FP
2_I_D_E	FP
2_I_E_F	FP
2_I_E_G	FP
2_I_E_H	FP
2_I_E_J	FP
2_I_E_K	FP
2_I_E_L	FP
2_I_E_M	FP
2_J_B_C	TP
2_J_B_D	FP
2_J_B_E	FP
2_J_B_G	TP
2_J_B_H	TP
2_J_B_I	FP
2_J_B_L	FP
2_K_A_D	TP
2_K_A_L	FP
2_K_A_M	FP
2_K_D_F	TP
2_K_D_J	TP
2_K_D_L	FP
2_K_F_L	FP
2_K_J_L	FP
2_K_J_M	FP
2_L_A_C	TP
2_L_A_D	TP
2_L_A_E	TP
2_L_A_G	TP
2_L_A_I	TP
2_L_B_C	TP
2_L_B_D	TP
2_L_B_E	TP
2_L_B_G	TP
2_L_B_I	TP
2_L_C_F	TP
2_L_C_J	TP
2_L_C_K	TP
2_L_C_M	TP
2_L_D_F	TP
2_L_D_H	TP
2_L_D_J	TP
2_L_D_K	TP
2_L_E_F	TP
2_L_E_J	TP
2_L_F_G	TP
2_L_F_I	TP
2_L_G_J	TP
2_L_G_K	TP
2_L_H_I	TP
2_M_A_D	TP
2_M_D_F	TP
2_M_D_J	TP
2_M_H_K	FP
2_M_J_K	FP
3_A_B_F	TP
3_A_B_J	TP
3_A_B_L	TP
3_A_B_M	TP
3_A_C_F	TP
3_A_C_J	TP
3_A_C_L	TP
3_A_C_M	TP
3_A_D_M	FP
3_A_E_M	TP
3_A_F_H	TP
3_A_G_J	TP
3_A_G_M	TP
3_A_H_K	TP
3_A_H_L	TP
3_A_H_M	TP
3_A_I_M	TP
3_A_K_L	FP
3_B_A_C	FP
3_B_C_D	FP
3_B_C_E	FP
3_B_C_F	FP
3_B_C_G	FP
3_B_C_H	FP
3_B_C_I	FP
3_B_C_K	FP
3_B_C_L	FP
3_D_A_E	FP
3_D_A_G	FP
3_D_A_I	FP
3_D_B_L	FP
3_D_C_J	FP
3_D_C_L	FP
3_D_E_F	FP
3_D_E_H	FP
3_D_E_J	FP
3_D_E_K	FP
3_D_E_L	FP
3_D_E_M	FP
3_D_F_G	FP
3_D_F_I	FP
3_D_G_H	FP
3_D_G_J	FP
3_D_G_K	FP
3_D_G_L	FP
3_D_G_M	FP
3_D_H_I	FP
3_D_I_J	FP
3_D_I_K	FP
3_D_I_L	FP
3_D_I_M	FP
3_E_A_G	FP
3_E_A_I	FP
3_E_B_D	FP
3_E_C_D	FP
3_E_C_F	FP
3_E_C_J	FP
3_E_C_K	FP
3_E_C_L	FP
3_E_C_M	FP
3_E_D_G	FP
3_E_D_I	FP
3_E_F_G	FP
3_E_F_I	FP
3_E_G_H	FP
3_E_G_J	FP
3_E_G_K	FP
3_E_G_L	FP
3_E_G_M	FP
3_E_H_I	FP
3_E_I_J	FP
3_E_I_K	FP
3_E_I_L	FP
3_E_I_M	FP
3_F_A_J	FP
3_F_A_K	FP
3_F_A_L	FP
3_F_B_L	FP
3_F_C_L	FP
3_F_C_M	FP
3_F_D_J	FP
3_F_E_J	FP
3_F_H_J	FP
3_F_H_K	FP
3_F_H_L	FP
3_F_H_M	FP
3_F_I_J	FP
3_F_I_M	FP
3_F_K_L	FP
3_G_B_D	FP
3_G_B_E	FP
3_G_B_I	FP
3_G_C_D	FP
3_G_C_E	FP
3_G_C_I	FP
3_H_A_C	FP
3_H_A_D	FP
3_H_B_F	TP
3_H_B_J	TP
3_H_B_K	TP
3_H_B_L	TP
3_H_B_M	TP
3_H_C_F	TP
3_H_C_J	TP
3_H_C_K	TP
3_H_C_L	TP
3_H_C_M	TP
3_H_D_F	FP
3_H_D_M	FP
3_H_E_F	TP
3_H_E_M	TP
3_H_F_G	TP
3_H_F_I	TP
3_H_G_M	TP
3_H_I_M	TP
3_I_A_G	FP
3_I_B_D	FP
3_I_B_E	FP
3_I_C_D	FP
3_I_C_E	FP
3_I_D_G	FP
3_I_E_G	FP
3_I_F_G	FP
3_I_G_H	FP
3_I_G_J	FP
3_I_G_K	FP
3_I_G_L	FP
3_I_G_M	FP
3_K_A_B	FP
3_K_A_C	FP
3_K_A_D	FP
3_K_A_E	FP
3_K_A_F	FP
3_K_A_J	FP
